epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9828702211380005,0.26607394218444824,0.11534487456083298,0.050685565918684006,0.05872851982712746,0.0010000000474974513,0.1864226907491684,0.4963931739330292,0.9789867997169495,0.961110532283783,0.9945120811462402,0.9839395880699158,0.27730152010917664,0.18553557991981506,0.06798999011516571,0.08385369926691055,0.07085499167442322,0.47272223234176636,0.9836735129356384,0.9836965203285217,0.9945886731147766
1,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.9839397072792053,0.277301549911499,0.18553557991981506,0.06798999756574631,0.08385368436574936,0.07085499167442322,0.47272223234176636,0.9836735129356384,0.9836964011192322,0.9945886135101318
2,0.9833521246910095,0.285155713558197,0.17077936232089996,0.08919180184602737,0.08502088487148285,0.0010000000474974513,0.0666499137878418,0.49999988079071045,0.983912467956543,0.9827075600624084,0.9946488738059998,0.9839396476745605,0.2928181290626526,0.21493248641490936,0.114525705575943,0.1065211296081543,0.06333193928003311,0.4143299460411072,0.9841856956481934,0.9836286306381226,0.9947429299354553
3,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.9839397668838501,0.292818158864975,0.21493247151374817,0.114525705575943,0.1065211072564125,0.06333193928003311,0.4143299460411072,0.984185516834259,0.9836286306381226,0.9947428107261658
4,0.9833518862724304,0.3033473491668701,0.2116381973028183,0.13857030868530273,0.11838846653699875,0.0010000000474974513,0.06228360906243324,0.4999959468841553,0.9854319095611572,0.9806990623474121,0.9951435923576355,0.9839396476745605,0.2998165786266327,0.1795026808977127,0.06168947368860245,0.12436146289110184,0.05881591513752937,0.5,0.9852402210235596,0.9832098484039307,0.9950754046440125
5,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.9839395880699158,0.2998166084289551,0.1795026957988739,0.061689458787441254,0.12436146289110184,0.05881591886281967,0.5,0.98524010181427,0.9832096695899963,0.995075523853302
6,0.9833518862724304,0.30296581983566284,0.21047985553741455,0.13590379059314728,0.11983199417591095,0.0010000000474974513,0.062134891748428345,0.49999821186065674,0.9855307340621948,0.980893075466156,0.9951674342155457,0.9839397668838501,0.32596370577812195,0.2685578763484955,0.1575179547071457,0.17105969786643982,0.04815572872757912,0.5,0.9884311556816101,0.9829593300819397,0.9961207509040833
7,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.9839396476745605,0.32596373558044434,0.2685578465461731,0.1575179249048233,0.17105969786643982,0.04815572500228882,0.5,0.9884312748908997,0.9829593300819397,0.9961206316947937
8,0.983881950378418,0.3274988532066345,0.27896109223365784,0.2062297910451889,0.16516558825969696,0.0010000000474974513,0.05553155764937401,0.4999818801879883,0.9880285859107971,0.9809910655021667,0.9959692358970642,0.9856122136116028,0.3412201404571533,0.29548996686935425,0.1946096420288086,0.1690908521413803,0.04631415382027626,0.5,0.9879007339477539,0.9839450716972351,0.9959484934806824
9,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.9856120944023132,0.3412201702594757,0.29548996686935425,0.194609597325325,0.1690908521413803,0.04631415382027626,0.5,0.9879007339477539,0.9839447736740112,0.9959486722946167
